Atomic Number,Atomic Mass,Period,Electronegativity,First Ionization,Covalent Radius,Bond E
169.0,728.028324,9.0,0.0,35.82980164,242.0,186.0
429.0,2021.545404,12.0,0.5700000000000001,58.592601880000004,240.0,180.0
1027.0,5314.563594,18.0,0.9299999999999999,55.221997900000005,257.0,326.0
455.0,2155.969728,12.0,1.3499999999999999,70.71504404000001,241.0,439.0
78.0,324.08080199999995,6.0,0.9399999999999997,67.40190374000001,197.0,255.0
221.0,956.592846,9.0,1.55,77.62146007999999,223.0,494.0
377.0,1714.598172,12.0,0.2899999999999998,46.248685120000005,253.0,216.0
117.0,512.6040360000001,6.0,2.37,104.28939624,178.0,664.0
13.0,27.170873999999998,3.0,0.5900000000000001,81.39730272,152.0,285.0
689.0,3424.123728,15.0,1.05,62.55939154,260.0,368.0
39.0,187.282062,6.0,0.6300000000000001,32.27363786,249.0,176.0
91.0,377.936874,6.0,1.43,86.99821578000001,192.0,297.0
104.0,431.685018,6.0,1.8299999999999998,81.51522298,187.0,512.0
195.0,835.740468,9.0,0.5799999999999998,62.771288860000006,228.0,213.0
598.0,2871.42444,15.0,0.5900000000000001,49.90301602,260.0,259.0
208.0,865.17783,9.0,0.97,62.012888,226.0,374.0
442.0,2130.4987199999996,12.0,0.9399999999999997,58.375915920000004,241.0,334.0
182.0,757.8164519999999,9.0,0.2899999999999998,48.79444586,232.0,251.0
676.0,3442.9031999999997,15.0,0.49,53.929663680000004,259.0,268.0
1196.0,6422.4984779999995,21.0,0.2300000000000002,37.07664378,317.0,326.0
2601.0,14825.4976,25.0,0.0,74.10455055999999,278.0,299.0
1785.0,9729.11104,20.0,0.9100000000000001,101.69791592,259.0,314.0
867.0,4316.757280000001,15.0,1.1100000000000003,111.63028784,241.0,360.0
459.0,2313.19648,10.0,1.9300000000000002,149.98243151999998,196.0,439.0
357.0,1705.49232,10.0,0.9900000000000002,125.11534644,210.0,301.0
408.0,1948.03824,10.0,1.3900000000000001,117.23005203999999,205.0,372.0
765.0,3771.39424,15.0,0.14000000000000012,90.27370828000001,246.0,357.0
816.0,3904.2344,15.0,0.5300000000000002,89.18302399999999,244.0,379.0
2652.0,15536.576,25.0,0.050000000000000266,77.55824064000001,277.0,277.4
1089.0,5613.306084,16.0,0.0,95.81668996000002,238.0,382.0
561.0,2656.209666,12.0,0.98,126.93464936,221.0,448.0
1023.0,5223.786606,16.0,0.3700000000000001,58.724747980000004,241.0,209.6
33.0,75.44645399999999,4.0,0.020000000000000018,133.10929824000002,150.0,272.0
231.0,1049.432454,8.0,0.8599999999999999,142.26849126000002,190.0,582.0
264.0,1198.677078,8.0,1.2599999999999998,133.30213366,185.0,481.0
495.0,2320.634028,12.0,0.009999999999999787,102.65011162000002,226.0,534.0
1122.0,5915.841119999999,16.0,0.36999999999999966,95.46234264,239.0,96.0
2673.0,15312.783126,24.0,0.14000000000000012,59.79072652000001,264.0,198.0
1960.0,10972.976607999999,24.0,2.07,61.56998146000001,335.0,370.0
952.0,4868.654131,18.0,2.27,67.58324092,317.0,444.0
504.0,2608.938346,12.0,3.09,90.80240676,272.0,487.0
2968.0,17427.345608,30.0,1.77,54.46904021,354.0,431.0
448.0,2197.094673,12.0,2.55,70.97345177000001,281.0,563.0
896.0,4403.390254999999,18.0,1.69,53.993212,320.0,400.0
16.0,81.21614400000001,4.0,0.0,86.91273528999999,192.0,59.0
140.0,720.094848,8.0,1.39,110.13651326,216.0,381.0
68.0,319.50243600000005,6.0,1.59,120.89304451999999,198.0,388.0
36.0,171.209976,4.0,2.41,162.42753756,153.0,577.0
4.0,9.075084,2.0,0.6300000000000001,126.77380367999999,127.0,226.0
32.0,144.18298800000002,4.0,1.8699999999999999,126.95746086999999,162.0,448.0
64.0,288.96978,6.0,1.01,96.58317199999999,201.0,372.0
6889.0,43672.6404,36.0,0.0,53.07996736,296.0,197.0
2905.0,16698.337919999998,24.0,0.94,86.07062128,268.0,267.0
1411.0,7408.96794,18.0,1.1400000000000001,94.47674656,250.0,305.0
